yday,W-1998,W-1999,AN-2000,D-2001,D-2002,AN-2003,BN-2004,AN-2005,W-2006,D-2007,C-2008,Synthesis
182,4.094642468,3.755050266,3.871555332,3.845599528,3.992352321,3.90142916,3.850871852,4.724909781,4.341926644,3.546232008,3.568221002,4.004953734
183,4.057127237,3.684157473,3.813062307,3.790457317,4.029556302,3.95745108,3.824084762,4.56498165,4.49255017,3.584055623,3.479236631,3.989414705
184,4.004984864,3.634526893,3.772987936,3.813062307,4.079887775,3.911097921,3.824084762,4.463756529,4.354415455,3.597226593,3.426912096,3.990605294
185,4.116181912,3.616136593,3.824084762,3.772987936,4.153955703,3.818596228,3.730360023,4.411316677,5.106020627,3.550358932,3.385059169,4.02513668
186,4.163898064,3.580918531,3.966348515,3.597993342,4.244387664,3.790457317,3.724042454,4.36667546,5.352367584,3.559349561,3.387162661,4.022509644
187,4.119705368,3.604854834,4.064800419,3.457850935,4.253081421,3.778861879,3.850871852,4.354415455,5.1473748,3.559349561,3.484704906,4.008437541
188,4.101899588,3.613146672,4.130165775,3.365824151,4.101899588,3.730360023,3.906281002,4.297631856,4.856236399,3.576185146,3.540411221,4.024792242
189,4.079887775,3.604095911,4.041511773,3.319830341,4.094642468,3.669168798,3.934675761,4.23852844,4.686862478,3.730360023,3.566616735,4.030090218
190,4.037550301,3.704723817,3.983796169,3.441592932,4.083607059,3.724042454,3.845599528,4.324041248,4.666995634,3.688187694,3.569821431,3.990974137
191,4.000800457,3.742819007,3.99658972,3.381891482,4.105498847,3.829528647,3.886658932,4.438050133,4.541074353,3.665022033,3.530313403,3.948474401
192,3.992352321,3.695513978,3.961914585,3.296192763,4.094642468,3.866444086,3.911097921,4.631969958,4.502540575,3.634526893,3.459737931,3.958226
193,3.98808792,3.748962581,3.920628972,3.260363495,4.112639806,3.896541884,3.90142916,4.19286844,4.514335459,3.543743582,3.389259561,4.065039505
194,3.98808792,3.807482241,3.95745108,3.246255002,4.101899588,4.025523206,3.866444086,4.253081421,4.688366543,3.512267068,3.466300827,4.015651527
195,4.116181912,3.861293499,3.975129204,3.316337494,4.098280865,4.431466222,3.856102963,4.346950171,4.660762175,3.443526266,3.633074125,4.001439177
196,4.208437176,3.966348515,4.261663681,3.253987393,4.150608485,4.33431993,3.876627836,4.226653806,4.638476136,3.421946031,3.813062307,4.014019638
197,4.116181912,4.017383352,4.217607474,3.248842405,4.292222568,4.150608485,3.784684713,4.170445177,4.679291021,3.443526266,3.952957605,4.004430529
198,4.045449932,4.025523206,3.970753261,3.261631458,3.983796169,4.037550301,3.724042454,4.189710752,4.859734409,3.371222905,3.845599528,3.989370096
199,4.017383352,4.101899588,3.845599528,3.316337494,3.866444086,3.975129204,3.639586889,4.079887775,4.809015699,3.342661395,3.69815832,3.999646712
200,4.021465655,4.17369487,3.98808792,3.451204229,3.778861879,3.95745108,3.548711216,4.202253077,4.627048474,3.376578454,3.648173136,4.007594646
201,4.060974826,4.217607474,4.033565238,3.549535581,3.676705099,3.930026182,3.485611956,4.241464465,4.516281218,3.334758824,3.784684713,3.986681721
202,4.123210369,4.244387664,3.845599528,3.778861879,3.633074125,3.934675761,3.436735017,4.17369487,4.484449053,3.275422751,3.891618652,3.978939675
203,4.232617461,4.223651929,3.761083071,3.834928604,3.59028603,3.975129204,3.541245869,4.087305785,4.504520882,3.269189193,3.784684713,3.974458343
204,4.385835936,4.137049633,3.784684713,3.801855254,3.647461808,3.948433753,3.645323277,3.408859099,4.550370817,3.616136593,3.634526893,3.986400126
205,4.478308201,4.045449932,3.881662179,3.73661851,3.704723817,3.866444086,3.587178077,4.049365051,4.48851187,3.655245134,3.548711216,3.989612221
206,4.465854813,4.029556302,3.824084762,3.724042454,3.761083071,4.017383352,3.541245869,4.313602222,4.50055439,3.630159092,3.544574086,3.999596504
207,4.344443121,4.083607059,3.807482241,3.840285335,3.856102963,4.163898064,3.558537204,3.881662179,4.516281218,3.755050266,3.486517779,4.000963325
208,4.264500149,4.196011298,3.784684713,3.970753261,3.930026182,4.211507926,3.64317789,4.094642468,4.601883048,3.73661851,3.433803251,3.987084707
209,4.286769198,4.214564649,3.850871852,4.057127237,3.886658932,4.123210369,3.772987936,4.076147705,4.659194696,3.724042454,3.540411221,3.984194474
210,4.359346442,4.068604267,3.934675761,4.041511773,3.772987936,4.170445177,3.876627836,4.094642468,4.752772322,3.761083071,3.807482241,4.054663524
211,4.424816891,3.952957605,4.037550301,3.952957605,3.686175618,4.211507926,3.948433753,4.199139465,4.805241491,3.796180552,4.009143269,4.062878936
212,4.463756529,3.886658932,3.896541884,3.840285335,3.704723817,4.176928857,3.871555332,4.112639806,4.817740276,3.790457317,4.053257398,4.040083617
213,4.480361419,3.975129204,3.834928604,3.818596228,3.637423003,4.133616555,3.742819007,4.049365051,4.762256462,3.724042454,3.925344072,4.07733898
214,4.646520902,4.112639806,3.915880414,3.939293257,3.587956419,4.101899588,3.755050266,4.079887775,4.677766395,3.748962581,3.784684713,4.058542505
215,4.617095576,4.101899588,3.95745108,3.930026182,3.636700149,4.229642276,3.801855254,4.025523206,4.617095576,3.824084762,3.742819007,4.051064201
216,4.502540575,3.99658972,3.95745108,3.73661851,3.767061976,4.48851187,3.881662179,4.041511773,4.520155847,3.676023477,3.73661851,4.050878204
217,4.411316677,3.925344072,3.934675761,3.650302594,3.876627836,4.339400668,3.920628972,4.083607059,4.494560218,3.640306632,3.796180552,4.055120024
218,4.448881387,3.983796169,3.952957605,3.679424665,3.925344072,4.267324644,3.939293257,4.068604267,4.465854813,3.55772386,3.761083071,4.04016632
219,4.356885491,4.137049633,3.925344072,3.73661851,3.95745108,4.189710752,3.881662179,4.250196033,4.457421912,3.552002602,3.934675761,4.042883942
220,4.418100827,4.14724444,3.829528647,3.755050266,3.920628972,4.232617461,3.772987936,4.098280865,4.496564247,3.648173136,4.021465655,4.050151153
221,4.446729115,4.076147705,4.476248663,3.845599528,3.871555332,4.157286263,3.717664674,4.076147705,4.496564247,3.678066264,3.98808792,4.053419572
222,4.344443121,4.037550301,4.284025757,3.906281002,3.834928604,4.068604267,3.704723817,4.638476136,4.422585684,3.667789396,3.920628972,4.041488192
223,4.20535227,4.041511773,4.009143269,3.834928604,3.717664674,4.049365051,3.648883708,4.331765023,4.427040684,3.651718477,3.876627836,4.014596775
224,4.167179627,4.160600329,3.834928604,3.801855254,3.724042454,4.079887775,3.582488915,4.189710752,4.478308201,3.620596575,3.911097921,4.002852212
225,4.163898064,4.261663681,3.711225526,3.796180552,3.818596228,4.183350321,3.504381418,4.133616555,4.451026758,3.580131955,3.925344072,3.999276339
226,4.137049633,4.126697109,3.635976515,3.711225526,3.871555332,4.294932678,3.432823134,4.180147292,4.448881387,3.499960014,3.829528647,3.994897979
227,4.087305785,3.98808792,3.591060768,3.64317789,3.906281002,4.341926644,3.448335306,4.294932678,4.448881387,3.468164179,3.772987936,4.017108273
228,4.112639806,3.95745108,3.717664674,3.546232008,3.906281002,4.326625757,3.467233152,4.356885491,4.486483545,3.466300827,4.013275993,4.011206653
229,4.060974826,3.99658972,3.834928604,3.784684713,3.906281002,4.226653806,3.461619621,4.796351334,4.512384025,3.454060905,4.126697109,4.079503568
230,4.004984864,4.105498847,3.772987936,3.641025602,3.948433753,4.20535227,3.469093913,4.539199462,4.504520882,3.399646623,4.053257398,4.065824474
231,4.053257398,4.143863398,3.767061976,3.507897628,3.925344072,4.157286263,3.442560297,4.589807271,4.486483545,3.353791317,4.000800457,4.107184369
232,4.133616555,4.167179627,3.813062307,3.423936881,3.840285335,4.153955703,3.37870873,5.460169787,4.411316677,3.317503803,3.948433753,4.14767719
233,4.137049633,4.157286263,3.891618652,3.360381488,3.778861879,4.226653806,3.346019851,5.073025172,4.331765023,3.287718331,3.807482241,4.076556222
234,4.029556302,4.253081421,3.925344072,3.310475261,3.640306632,4.302997771,3.316337494,4.780830786,4.336865121,3.23843222,3.834928604,4.036131485
235,4.083607059,4.349447864,3.95745108,3.262897023,3.613895405,4.351936269,3.299792067,4.6086869,4.253081421,3.162111339,3.638145076,4.018506945
236,4.041511773,4.409039924,3.934675761,3.217113051,3.615390364,4.378714891,3.291363379,4.59500931,4.133616555,3.102180907,3.458795098,3.998358942
237,4.418100827,4.474182768,4.211507926,3.172322185,3.636700149,4.324041248,3.272936291,4.525926049,4.199139465,3.084259605,3.42493009,4.007625653
238,4.331765023,4.448881387,4.013275993,3.094094307,3.69815832,4.214564649,3.251419843,4.465854813,4.140465187,3.07595215,3.489227914,3.986764897
239,4.130165775,4.399854651,3.861293499,3.027422566,3.717664674,4.220636526,3.223848539,4.50055439,4.060974826,3.064145685,3.515742194,3.962604766
240,4.101899588,4.336865121,3.772987936,2.961349812,3.742819007,4.321446718,3.226523866,4.494560218,3.948433753,3.055583117,3.491028592,3.943428763
241,4.229642276,4.264500149,3.711225526,2.89682893,3.778861879,4.292222568,3.405802344,4.465854813,3.845599528,3.018373706,3.395511125,3.912228816
242,4.130165775,4.105498847,3.665714947,2.851637662,3.807482241,4.261663681,3.455010427,4.308321002,3.824084762,2.978972901,3.329056442,3.871669318
243,4.150608485,4.150608485,3.552822925,2.808179753,3.834928604,4.170445177,3.292573996,4.170445177,3.866444086,2.973149952,3.275422751,3.870193607
244,4.297631856,4.112639806,3.455010427,2.774939921,3.807482241,4.109078851,3.233165762,4.189710752,3.939293257,2.959362733,3.265420995,3.870330666
245,4.409039924,4.119705368,3.393433753,2.739962341,3.730360023,4.090984181,3.199276758,4.232617461,3.948433753,2.920441925,3.275422751,3.846191782
246,4.354415455,3.975129204,3.358191967,2.717492163,3.594150781,4.072386615,3.173768242,4.202253077,3.961914585,2.885813985,3.265420995,3.807925348
247,4.232617461,3.813062307,3.324459291,2.688299999,3.532852178,4.049365051,3.139691781,4.079887775,3.983796169,2.81562156,3.22518754,3.771886321
248,4.310966822,3.73661851,3.292573996,2.648340652,3.518336746,4.004984864,3.100571386,4.033565238,3.98808792,2.780162443,3.185225564,3.771621663
249,4.331765023,3.871555332,3.299792067,2.615892317,3.521780576,3.934675761,3.055583117,4.033565238,3.948433753,2.822981521,3.163579605,3.76330239
250,4.514335459,3.896541884,3.250132365,2.588750976,3.483796624,3.886658932,3.011045474,3.966348515,3.915880414,2.800654257,3.113340452,3.729129479
251,4.422585684,3.813062307,3.193691634,2.574756024,3.413922867,3.866444086,2.994257515,3.845599528,3.866444086,2.726007142,3.084259605,3.700409601
252,4.385835936,3.778861879,3.239742384,2.553199043,3.324459291,3.807482241,2.955370785,3.840285335,3.796180552,2.663993267,3.031008126,3.675116964
253,4.402162816,3.748962581,3.296192763,2.503964269,3.222506854,3.704723817,2.892444684,4.331765023,3.742819007,2.62579308,2.984745619,3.66817056
254,4.381097002,3.767061976,3.160639844,2.467624378,3.142724809,3.623553469,2.858613986,4.160600329,3.662243178,2.609209482,2.973149952,3.629821085
255,4.361798378,3.829528647,3.089195022,2.446548915,3.103786567,3.548711216,2.810669562,4.013275993,3.64603688,2.588750976,2.951354882,3.586294084
256,4.402162816,3.834928604,3.043408423,2.415881655,3.094094307,3.485611956,2.785344523,3.961914585,3.589510394,2.560462135,2.883589071,3.560064105
257,4.420347013,3.845599528,3.052127175,2.388428316,3.092465194,3.426912096,2.767028913,3.911097921,3.512267068,2.527138872,2.822981521,3.531223922
258,4.411316677,3.856102963,3.07091772,2.388428316,3.074278212,3.364739154,2.759023266,3.906281002,3.451204229,2.496057561,2.79558983,3.527396471
259,4.385835936,3.834928604,3.067540269,2.35980037,3.012885069,3.315169148,2.767028913,3.896541884,3.436735017,2.467624378,2.785344523,3.505078255
260,4.305664679,3.790457317,3.012885069,2.329892793,2.951354882,3.319830341,2.745463944,3.807482241,3.456905438,2.450817441,2.76170247,3.471419522
261,4.255954421,3.73661851,2.953365846,2.303906415,2.90118464,3.31282632,2.714629589,3.920628972,3.444490843,2.429197215,2.717492163,3.453408213
262,4.31884209,3.682133224,2.89682893,2.282365392,2.911951471,3.253987393,2.688299999,3.840285335,3.42094838,2.393082799,2.660891896,3.436502113
263,4.284025757,3.630159092,2.874614696,2.237084483,2.899010329,3.179521423,2.651500601,3.696837455,3.354894196,2.354907675,2.615892317,3.398538102
264,4.23852844,3.589510394,2.832670554,2.219281765,2.846946045,3.130509334,2.619208874,3.637423003,3.331343229,2.324775619,2.578282296,3.354367674
265,4.157286263,3.562589163,2.774939921,2.207144606,2.825416962,3.085908792,2.571211073,3.626497354,3.320990584,2.303906415,2.534688763,3.315186601
266,4.123210369,3.585618671,2.737194486,2.136144495,2.790486783,3.046909567,2.530924465,3.627964455,3.290150568,2.276870023,2.515651883,3.290005607
267,4.087305785,3.553642244,2.708867442,2.11539801,2.750920685,3.014719621,2.503964269,3.588733857,3.276662525,2.254425842,2.500022592,3.262708284
268,4.087305785,3.484704906,2.676256986,2.079323895,2.697192131,2.984745619,2.479958244,3.560971323,3.248842405,2.23120271,2.475872161,3.233619364
269,4.098280865,3.358191967,2.654645699,2.071869706,2.682305583,2.951354882,2.442252987,3.539575532,3.210309081,2.225268782,2.446548915,3.202816194
270,4.017383352,3.26667942,2.62579308,2.086695966,2.679288118,2.928826004,2.402295757,3.492824438,3.162111339,2.24291501,2.415881655,3.183464174
271,3.970753261,3.219815387,2.60584287,2.101200856,2.651500601,2.918329389,2.349978945,3.443526266,3.135116307,2.182189244,2.383741233,3.128320822
272,3.975129204,3.199276758,2.602459236,2.101200856,2.619208874,2.903351909,2.309185046,3.414931039,3.124316949,2.169353676,2.345013645,3.102084925
273,3.939293257,3.199276758,2.574756024,2.101200856,2.58527958,2.874614696,2.293222573,3.376578454,3.089195022,2.149626565,2.314422365,3.066427527
274,3.881662179,3.193691634,2.542154427,2.064331548,2.567647243,2.835071051,2.282365392,3.364739154,3.032793727,2.129300217,2.276870023,3.031701612
275,3.813062307,3.162111339,2.503964269,2.041193801,2.534688763,2.803172171,2.276870023,3.338157074,2.982826907,2.108337081,2.248695175,3.009145665
276,3.784684713,3.133584171,2.471760976,2.017227321,2.503964269,2.777556276,2.276870023,3.293782428,2.949337856,2.093987709,2.213240701,2.975241614
277,3.717664674,3.060733793,2.450817441,2.009043884,2.492068896,2.756333291,2.303906415,3.255267483,2.920441925,2.086695966,2.182189244,2.947586852
278,3.704723817,2.986658845,2.437929303,1.992370531,2.437929303,2.731624191,2.260107852,3.195092291,2.90118464,2.079323895,2.156267093,2.910738833
279,3.680102834,2.918329389,2.411383599,1.983875438,2.397705132,2.697192131,2.219281765,3.172322185,2.874614696,2.05670751,2.122385214,2.876029105
280,3.673290025,2.888031526,2.397705132,1.957723296,2.406855105,2.657776085,2.162842373,3.148749934,2.853971193,2.033299961,2.101200856,2.838566788
281,3.62502703,2.860923358,2.388428316,1.957723296,2.345013645,2.62579308,2.129300217,3.124316949,2.793043171,2.033299961,2.086695966,2.793347759
282,3.569821431,2.825416962,2.37902109,1.948773761,2.303906415,2.588750976,2.108337081,3.038122121,2.769676321,2.025311893,2.071869706,2.826649476
283,3.532006989,2.793043171,2.364657553,1.948773761,2.265742022,2.553199043,2.093987709,2.992365921,2.756333291,2.017227321,2.041193801,2.785999092
284,3.468164179,2.772313296,2.349978945,1.939702915,2.237084483,2.511778648,2.079323895,2.939160517,2.739962341,2.009043884,2.017227321,2.707700382
285,3.362563868,2.772313296,2.340011227,1.921183817,2.213240701,2.475872161,2.064331548,2.959362733,2.717492163,2.017227321,2.009043884,2.662745189
286,3.311651823,2.750920685,2.314422365,1.921183817,2.200992468,2.442252987,2.064331548,2.914084205,2.697192131,2.009043884,1.992370531,2.630033476
287,3.284053319,2.723180837,2.298585815,1.921183817,2.182189244,2.406855105,2.041193801,2.863224789,2.657776085,1.983875438,1.992370531,2.601699357
288,3.213038976,2.703055248,2.287816001,1.902137609,2.156267093,2.383741233,1.983875438,2.793043171,2.622509074,1.966554722,1.975271117,2.582937896
289,3.160639844,2.651500601,2.260107852,1.892407291,2.169353676,2.349978945,1.966554722,2.827843573,2.599058407,1.948773761,1.957723296,2.55363488
290,3.144236183,2.599058407,2.24291501,1.872511643,2.175802233,2.329892793,1.957723296,2.780162443,2.58527958,1.939702915,1.939702915,2.521448598
291,3.124316949,2.564064332,2.23120271,1.872511643,2.169353676,2.303906415,1.948773761,2.72882156,2.567647243,1.948773761,1.921183817,2.490813808
292,3.095719463,2.534688763,2.225268782,1.882533403,2.162842373,2.287816001,1.948773761,2.673212061,2.564064332,1.948773761,1.902137609,2.464147196
293,3.050392489,2.511778648,2.225268782,1.872511643,2.142919482,2.265742022,1.930507425,2.663993267,2.592204456,1.948773761,1.892407291,2.434489175
294,3.009200808,2.496057561,2.213240701,1.862337516,2.129300217,2.248695175,1.930507425,2.638770278,2.530924465,1.939702915,1.852006316,2.40256883
295,2.97509657,2.471760976,2.194783246,1.852006316,2.122385214,2.237084483,1.91172847,2.60584287,2.511778648,1.930507425,1.852006316,2.379303826
296,2.965306356,2.450817441,2.182189244,1.852006316,2.108337081,2.225268782,1.872511643,2.588750976,2.484019529,1.921183817,1.862337516,2.353660535
297,2.935045844,2.433577501,2.169353676,1.841513117,2.101200856,2.213240701,1.862337516,2.560462135,2.46346205,1.921183817,1.841513117,2.332550465
298,2.905512182,2.415881655,2.156267093,1.830852758,2.086695966,2.194783246,1.852006316,2.530924465,2.424788068,1.921183817,1.892407291,2.312082363
299,2.876869598,2.402295757,2.142919482,1.830852758,2.071869706,2.169353676,1.830852758,2.496057561,2.402295757,1.91172847,1.830852758,2.29032298
300,2.844587844,2.388428316,2.129300217,1.820019826,2.064331548,2.162842373,1.820019826,2.467624378,2.388428316,1.882533403,1.797813244,2.271827225
301,2.818083886,2.374267417,2.122385214,1.797813244,2.064331548,2.149626565,1.797813244,2.442252987,2.354907675,1.841513117,1.797813244,2.247921632
302,2.772313296,2.345013645,2.101200856,1.78642736,2.04899561,2.142919482,1.797813244,2.411383599,2.334971134,1.820019826,1.797813244,2.229260052
303,2.745463944,2.314422365,2.086695966,1.774844396,2.041193801,2.136144495,1.797813244,2.388428316,2.329892793,1.820019826,1.797813244,2.212334355
304,2.731624191,2.298585815,2.079323895,1.774844396,2.025311893,2.122385214,1.78642736,2.369479735,2.319619014,1.809008643,1.78642736,2.199884595
305,2.705967655,2.282365392,2.079323895,1.78642736,2.025311893,2.136144495,1.78642736,2.324775619,2.309185046,1.797813244,1.78642736,2.182758252
306,2.670153219,2.276870023,2.071869706,1.809008643,2.000759134,2.24291501,1.78642736,2.282365392,2.298585815,1.797813244,1.774844396,2.160494468
307,2.645165711,2.260107852,2.064331548,1.797813244,1.992370531,2.374267417,1.774844396,2.287816001,2.298585815,1.78642736,1.76305741,2.141811866
308,2.622509074,2.248695175,2.05670751,1.774844396,1.992370531,2.23120271,1.78642736,2.287816001,2.287816001,1.774844396,1.751059086,2.124560301
309,2.592204456,2.237084483,2.025311893,1.76305741,1.992370531,2.169353676,1.738841706,2.287816001,2.276870023,1.751059086,1.738841706,2.105044702
310,2.567647243,2.225268782,2.017227321,1.726397122,1.975271117,2.156267093,1.726397122,2.271329153,2.276870023,1.76305741,1.726397122,2.093229592
311,2.542154427,2.23120271,2.000759134,1.726397122,1.957723296,2.149626565,1.713716724,2.254425842,2.271329153,1.774844396,1.726397122,2.078216587
312,2.51950283,2.23120271,1.992370531,1.726397122,1.957723296,2.136144495,1.751059086,2.237084483,2.265742022,1.774844396,1.76305741,2.06501008
313,2.496057561,2.23120271,1.983875438,1.713716724,1.939702915,2.11539801,1.738841706,2.23120271,2.260107852,1.774844396,1.726397122,2.053840319
314,2.479958244,2.237084483,1.975271117,1.700791402,1.930507425,2.108337081,1.738841706,2.23120271,2.248695175,1.76305741,1.713716724,2.041076664
315,2.467624378,2.237084483,1.966554722,1.687611508,1.921183817,2.093987709,1.726397122,2.260107852,2.23120271,1.751059086,1.700791402,2.026749619
316,2.450817441,2.260107852,1.966554722,1.687611508,1.91172847,2.079323895,1.713716724,2.207144606,2.213240701,1.738841706,1.700791402,2.013819541
317,2.433577501,2.254425842,1.957723296,1.674166812,1.902137609,2.071869706,1.700791402,2.219281765,2.213240701,1.738841706,1.687611508,2.007813847
318,2.420349679,2.207144606,1.948773761,1.700791402,1.892407291,2.05670751,1.700791402,2.219281765,2.213240701,1.738841706,1.700791402,2.007074738
319,2.402295757,2.194783246,1.939702915,1.687611508,1.892407291,2.05670751,1.687611508,2.219281765,2.200992468,1.738841706,1.687611508,1.989592971
320,2.424788068,2.175802233,1.939702915,1.674166812,1.872511643,2.041193801,1.674166812,2.213240701,2.169353676,1.713716724,1.674166812,1.984513137
321,2.402295757,2.169353676,1.930507425,1.674166812,1.882533403,2.017227321,1.646438895,2.207144606,2.162842373,1.713716724,1.660446455,1.981958686
322,2.37902109,2.149626565,1.930507425,1.660446455,1.872511643,2.017227321,1.646438895,2.207144606,2.156267093,1.700791402,1.660446455,1.970211214
323,2.369479735,2.142919482,1.921183817,1.646438895,1.830852758,2.009043884,1.646438895,2.188515871,2.149626565,1.700791402,1.646438895,1.96942936
324,2.364657553,2.136144495,1.902137609,1.646438895,1.830852758,1.992370531,1.700791402,2.188515871,2.136144495,1.713716724,1.646438895,1.962351264
325,2.354907675,2.129300217,1.902137609,1.646438895,1.809008643,2.000759134,1.646438895,2.194783246,2.136144495,1.726397122,1.646438895,1.962746462
326,2.349978945,2.122385214,1.91172847,1.646438895,1.809008643,2.086695966,1.632131853,2.175802233,2.129300217,1.726397122,1.660446455,1.958386397
327,2.329892793,2.11539801,1.921183817,1.61751224,1.820019826,2.149626565,1.632131853,2.156267093,2.122385214,1.726397122,1.660446455,1.939430245
328,2.309185046,2.101200856,1.91172847,1.632131853,1.820019826,2.093987709,1.646438895,2.142919482,2.108337081,1.726397122,1.646438895,1.929954423
329,2.293222573,2.086695966,1.91172847,1.646438895,1.809008643,2.033299961,1.687611508,2.129300217,2.108337081,1.713716724,1.646438895,1.920903493
330,2.282365392,2.086695966,1.902137609,1.646438895,1.809008643,2.009043884,1.687611508,2.11539801,2.101200856,1.713716724,1.632131853,1.917107592
331,2.276870023,2.086695966,1.902137609,1.632131853,1.797813244,2.000759134,1.674166812,2.101200856,2.101200856,1.713716724,1.61751224,1.906305759
332,2.265742022,2.108337081,1.892407291,1.646438895,1.797813244,1.992370531,1.632131853,2.101200856,2.093987709,1.700791402,1.61751224,1.880600582
333,2.265742022,2.079323895,1.882533403,1.632131853,1.774844396,1.966554722,1.632131853,2.093987709,2.086695966,1.713716724,1.61751224,1.874768396
334,2.248695175,2.05670751,1.882533403,1.632131853,1.774844396,1.957723296,1.61751224,2.064331548,2.071869706,1.700791402,1.61751224,1.869793456
335,2.237084483,2.033299961,1.902137609,1.632131853,1.76305741,1.948773761,1.602566096,2.04899561,2.071869706,1.700791402,1.602566096,1.867064183
336,2.225268782,2.041193801,1.902137609,1.632131853,1.751059086,1.957723296,1.602566096,2.041193801,2.064331548,1.700791402,1.587278498,1.87776561
337,2.219281765,2.033299961,1.966554722,1.632131853,1.738841706,1.966554722,1.602566096,2.033299961,2.05670751,1.687611508,1.587278498,1.881939283
338,2.207144606,2.033299961,2.156267093,1.632131853,1.726397122,1.948773761,1.587278498,2.025311893,2.04899561,1.687611508,1.587278498,1.857577226
339,2.200992468,2.009043884,2.225268782,1.61751224,1.738841706,1.939702915,1.57163348,2.017227321,2.04899561,1.687611508,1.587278498,1.848266443
340,2.213240701,2.000759134,2.101200856,1.61751224,1.820019826,1.948773761,1.555613928,2.009043884,2.04899561,1.687611508,1.587278498,1.846231917
341,2.324775619,1.983875438,2.017227321,1.61751224,1.726397122,1.921183817,1.587278498,2.009043884,2.04899561,1.687611508,1.602566096,1.853868444
342,2.329892793,1.975271117,1.983875438,1.602566096,1.713716724,1.91172847,1.602566096,2.009043884,2.041193801,1.700791402,1.602566096,1.842459543
343,2.271329153,1.966554722,1.975271117,1.587278498,1.726397122,1.902137609,1.61751224,2.009043884,2.05670751,1.687611508,1.587278498,1.833573745
344,2.276870023,1.983875438,1.957723296,1.57163348,1.738841706,1.91172847,1.61751224,2.009043884,2.041193801,1.674166812,1.587278498,1.836601813
345,2.271329153,1.992370531,1.957723296,1.57163348,1.726397122,1.902137609,1.555613928,2.000759134,2.041193801,1.687611508,1.587278498,1.843719365
346,2.276870023,1.992370531,1.957723296,1.57163348,1.700791402,1.91172847,1.53920147,2.000759134,2.041193801,1.687611508,1.57163348,1.848891208
347,2.248695175,1.983875438,1.957723296,1.587278498,1.687611508,1.902137609,1.53920147,2.000759134,2.041193801,1.687611508,1.57163348,1.837618716
348,2.225268782,1.966554722,1.957723296,1.602566096,1.687611508,1.892407291,1.53920147,2.000759134,2.04899561,1.674166812,1.587278498,1.83993276
349,2.213240701,1.966554722,1.957723296,1.61751224,1.687611508,1.882533403,1.53920147,2.000759134,2.071869706,1.687611508,1.555613928,1.831333737
350,2.200992468,1.957723296,1.957723296,1.632131853,1.674166812,1.862337516,1.53920147,2.009043884,2.033299961,1.687611508,1.53920147,1.825539048
351,2.175802233,1.957723296,1.957723296,1.632131853,1.687611508,1.862337516,1.555613928,2.009043884,2.025311893,1.700791402,1.555613928,1.828925378
352,2.149626565,1.948773761,1.966554722,1.61751224,1.700791402,1.862337516,1.587278498,2.009043884,2.04899561,1.700791402,1.555613928,1.835487802
353,2.136144495,1.948773761,1.957723296,1.632131853,1.700791402,1.852006316,1.587278498,2.000759134,2.041193801,1.700791402,1.555613928,1.847171698
354,2.129300217,1.948773761,1.939702915,1.61751224,1.700791402,1.862337516,1.602566096,1.992370531,2.041193801,1.687611508,1.555613928,1.871606807
355,2.142919482,1.939702915,1.939702915,1.61751224,1.700791402,1.862337516,1.646438895,2.000759134,2.017227321,1.738841706,1.555613928,1.859577601
356,2.142919482,1.921183817,1.921183817,1.632131853,1.687611508,1.862337516,1.687611508,1.983875438,2.064331548,1.76305741,1.555613928,1.84324721
357,2.142919482,1.91172847,1.91172847,1.61751224,1.687611508,1.852006316,1.726397122,1.983875438,2.009043884,1.774844396,1.57163348,1.841986497
358,2.136144495,1.902137609,1.930507425,1.61751224,1.687611508,1.841513117,1.713716724,2.009043884,1.983875438,1.809008643,1.57163348,1.832774602
359,2.142919482,1.91172847,1.948773761,1.587278498,1.646438895,1.830852758,1.660446455,1.983875438,1.992370531,1.921183817,1.57163348,1.829246994
360,2.169353676,1.91172847,1.948773761,1.57163348,1.61751224,1.841513117,1.61751224,1.966554722,1.992370531,1.882533403,1.57163348,1.844033951
361,2.182189244,1.91172847,1.930507425,1.660446455,1.632131853,1.841513117,1.602566096,1.957723296,1.992370531,1.78642736,1.555613928,1.943373134
362,2.24291501,1.892407291,1.921183817,1.726397122,1.632131853,1.841513117,1.602566096,1.975271117,1.992370531,1.76305741,1.57163348,1.888298596
363,2.287816001,1.882533403,1.921183817,1.687611508,1.646438895,1.830852758,1.587278498,2.101200856,1.992370531,1.76305741,1.660446455,1.86812689
364,2.23120271,1.872511643,1.921183817,1.646438895,1.674166812,1.841513117,1.587278498,2.093987709,1.992370531,1.797813244,1.57163348,1.853868444
365,2.207144606,1.872511643,1.921183817,1.646438895,1.687611508,1.841513117,1.587278498,2.017227321,1.992370531,1.830852758,1.602566096,1.859116507
